iter	Passed	Remaining
0	57	57643
1	57	28895
2	58	19307
3	58	14517
4	58	11642
5	58	9723
6	58	8352
7	59	7323
8	59	6523
9	59	5883
10	59	5359
11	59	4924
12	60	4555
13	60	4239
14	60	3965
15	60	3725
16	60	3514
17	60	3326
18	61	3157
19	61	3005
20	61	2868
21	61	2743
22	61	2628
23	62	2524
24	62	2428
25	62	2339
26	62	2257
27	62	2181
28	63	2110
29	63	2044
30	63	1981
31	63	1922
32	63	1867
33	63	1815
34	64	1767
35	64	1721
36	64	1677
37	64	1636
38	64	1596
39	64	1559
40	65	1524
41	65	1490
42	65	1458
43	65	1427
44	65	1398
45	66	1370
46	66	1343
47	66	1317
48	66	1292
49	66	1269
50	67	1246
51	67	1224
52	67	1203
53	67	1183
54	67	1164
55	67	1146
56	68	1127
57	68	1110
58	68	1092
59	68	1076
60	68	1060
61	69	1044
62	69	1029
63	69	1015
64	69	1001
65	69	987
66	69	974
67	70	959
68	70	947
69	70	935
70	70	923
71	70	911
72	70	900
73	71	889
74	71	879
75	71	869
76	71	858
77	71	849
78	72	839
79	72	830
80	72	820
81	72	811
82	72	803
83	72	794
84	72	785
85	73	777
86	73	768
87	73	761
88	73	753
89	73	746
90	74	739
91	74	732
92	74	725
93	74	718
94	74	712
95	74	705
96	75	699
97	75	692
98	75	686
99	75	680
100	75	674
101	75	667
102	76	662
103	76	657
104	76	651
105	76	646
106	76	641
107	76	635
108	77	630
109	77	625
110	77	621
111	77	616
112	77	611
113	78	606
114	78	602
115	78	597
116	78	593
117	78	588
118	78	584
119	79	580
120	79	575
121	79	571
122	79	566
123	79	562
124	79	559
125	80	555
126	80	551
127	80	546
128	80	543
129	80	539
130	80	536
131	81	532
132	81	529
133	81	525
134	81	522
135	81	519
136	81	516
137	82	512
138	82	509
139	82	506
140	82	502
141	82	499
142	82	496
143	83	493
144	83	491
145	83	488
146	83	485
147	83	482
148	84	480
149	84	477
150	84	474
151	84	471
152	84	469
153	84	466
154	85	464
155	85	461
156	85	458
157	85	456
158	85	454
159	86	451
160	86	449
161	86	447
162	86	444
163	86	442
164	86	440
165	87	437
166	87	435
167	87	433
168	87	431
169	87	429
170	88	427
171	88	424
172	88	422
173	88	420
174	88	418
175	88	416
176	89	414
177	89	412
178	89	410
179	89	408
180	89	406
181	89	404
182	90	402
183	90	400
184	90	398
185	90	396
186	90	394
187	90	392
188	91	391
189	91	389
190	91	387
191	91	385
192	91	384
193	92	382
194	92	380
195	92	379
196	92	377
197	92	375
198	92	374
199	93	372
200	93	371
201	93	369
202	93	368
203	93	366
204	94	364
205	94	363
206	94	361
207	94	360
208	94	358
209	94	357
210	95	355
211	95	354
212	95	352
213	95	351
214	95	349
215	96	348
216	96	347
217	96	345
218	96	344
219	96	343
220	96	341
221	97	340
222	97	339
223	97	337
224	97	336
225	97	335
226	98	333
227	98	332
228	98	331
229	98	330
230	98	328
231	99	327
232	99	326
233	99	325
234	99	324
235	99	322
236	99	321
237	100	320
238	100	319
239	100	318
240	100	316
241	100	315
242	100	314
243	101	313
244	101	312
245	101	311
246	101	310
247	101	309
248	102	308
249	102	307
250	102	305
251	102	304
252	102	303
253	103	302
254	103	301
255	103	300
256	103	299
257	103	298
258	104	297
259	104	296
260	104	295
261	104	294
262	104	293
263	104	292
264	105	291
265	105	290
266	105	289
267	105	288
268	105	287
269	106	286
270	106	285
271	106	284
272	106	283
273	106	282
274	106	281
275	107	280
276	107	280
277	107	279
278	107	278
279	107	277
280	108	276
281	108	275
282	108	274
283	108	273
284	108	272
285	108	271
286	109	271
287	109	270
288	109	269
289	109	268
290	109	267
291	110	266
292	110	265
293	110	265
294	110	264
295	110	263
296	110	262
297	111	261
298	111	260
299	111	259
300	111	259
301	111	258
302	111	257
303	112	256
304	112	255
305	112	255
306	112	254
307	112	253
308	113	252
309	113	251
310	113	251
311	113	250
312	113	249
313	113	248
314	114	248
315	114	247
316	114	246
317	114	246
318	114	245
319	115	244
320	115	243
321	115	243
322	115	242
323	115	241
324	115	240
325	116	240
326	116	239
327	116	238
328	116	237
329	116	237
330	117	236
331	117	235
332	117	235
333	117	234
334	117	233
335	117	233
336	118	232
337	118	231
338	118	230
339	118	230
340	118	229
341	118	228
342	119	228
343	119	227
344	119	226
345	119	226
346	119	225
347	120	224
348	120	224
349	120	223
350	120	222
351	120	222
352	120	221
353	121	221
354	121	220
355	121	219
356	121	219
357	121	218
358	122	217
359	122	217
360	122	216
361	122	216
362	122	215
363	122	214
364	123	214
365	123	213
366	123	213
367	123	212
368	123	211
369	124	211
370	124	210
371	124	209
372	124	209
373	124	208
374	124	208
375	125	207
376	125	207
377	125	206
378	125	205
379	125	205
380	126	204
381	126	204
382	126	203
383	126	202
384	126	202
385	126	201
386	127	201
387	127	200
388	127	200
389	127	199
390	127	198
391	127	198
392	128	197
393	128	197
394	128	196
395	128	196
396	128	195
397	129	195
398	129	194
399	129	194
400	129	193
401	129	193
402	129	192
403	130	191
404	130	192
405	131	191
406	131	191
407	131	190
408	131	190
409	131	189
410	132	189
411	132	188
412	132	188
413	132	187
414	132	187
415	132	186
416	133	186
417	133	185
418	133	185
419	133	184
420	134	184
421	134	184
422	134	183
423	134	183
424	135	182
425	135	182
426	135	181
427	135	181
428	135	180
429	135	180
430	136	179
431	136	179
432	136	178
433	136	178
434	136	177
435	137	177
436	137	176
437	137	176
438	137	175
439	137	175
440	137	174
441	138	174
442	138	173
443	138	173
444	138	172
445	138	172
446	138	171
447	139	171
448	139	171
449	139	170
450	139	170
451	139	169
452	140	169
453	140	168
454	140	168
455	140	167
456	140	167
457	140	166
458	141	166
459	141	165
460	141	165
461	141	165
462	141	164
463	142	164
464	142	163
465	142	163
466	142	162
467	142	162
468	142	161
469	143	161
470	143	160
471	143	160
472	143	160
473	143	159
474	144	159
475	144	158
476	144	158
477	144	157
478	144	157
479	144	156
480	145	156
481	145	156
482	145	155
483	145	155
484	145	154
485	145	154
486	146	153
487	146	153
488	146	153
489	146	152
490	146	152
491	147	151
492	147	151
493	147	150
494	147	150
495	147	150
496	147	149
497	148	149
498	148	148
499	148	148
500	148	148
501	148	147
502	149	147
503	149	146
504	149	146
505	149	146
506	149	145
507	149	145
508	150	144
509	150	144
510	150	143
511	150	143
512	150	143
513	151	142
514	151	142
515	151	141
516	151	141
517	151	141
518	151	140
519	152	140
520	152	139
521	152	139
522	152	139
